[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 3:2)]
Bernard Tschumi,Yes,,,
Berndnaut Smilde,Yes,,,
Beth Conklin,Yes,,,
Bill Blass,Yes,,,
Bill Jacklin,Yes,,,
Bill Viola,Yes,,,
Bo Bartlett,Yes,,,
Bob Mackie,Yes,,,
Bouchra Jarrar,Yes,,,
Brandon Woelfel,Yes,,,
Bruce Gilden,Yes,,,
Bruno Barbey,Yes,,,
C. F. A. Voysey,Yes,,,
Carlo Scarpa,Yes,,,
Cath Kidston,Yes,,,
Chris Cunningham,Yes,,,
Christo,Yes,,,
Christopher Balaskas,Yes,,,
Daan Roosegaarde,Yes,,,
Daniel Arsham,Yes,,,
David Nash,Yes,,,
Gerald Brom,Yes,,,
Irina Ionesco,Yes,,,
Iris Scott,Yes,,,
Joris Laarman,Yes,,,
Karl Blossfeldt,Yes,,,
Kris Kuksi,Yes,,,
Liam Wong,Yes,,,
Lucie Rie,Yes,,,
Manfred Kielnhofer,Yes,,,
Marc Riboud,Yes,,,
Marcel Wanders,Yes,,,
Mario Botta,Yes,,,
Martin Puryear,Yes,,,
Mary Corse,Yes,,,
Masahisa Fukase,Yes,,,
Michael Hussar,Yes,,,
Michael Thonet,Yes,,,
Nickolas Muray,Yes,,,
Oleg Oprisco,Yes,,,
Paul Rudolph,Yes,,,
Piet Oudolf,Yes,,,
Pipilotti Rist,Yes,,,
Poul Henningsen,Yes,,,
Rafael Viñoly,Yes,,,
Thomas Heatherwick,Yes,,,
Vacheron Constantin,Yes,,,
Vanessa Beecroft,Yes,,,
Viviane Sassen,Yes,,,
Wade Guyton,Yes,,,
Walter Van Beirendonck,Yes,,,
Yann Arthus-Bertrand,Yes,,,
Yves Klein,Yes,,,
Yvonne Coomber,Yes,,,
Zaria Forman,Yes,,,
Zdzisław Beksiński,Yes,,,
Zhang Kechun,Yes,,,
Aaron James Draplin,Yes,,,
Alan Kitching,Yes,,,
Albert Oehlen,Yes,,,
Alberto Campo Baeza,Yes,,,
Aldo Rossi,Yes,,,
Alec Monopoly,Yes,,,
Alex Majoli,Yes,,,
Ben Eine,Yes,,,
Billie Tsien,Yes,,,
Carsten Nicolai,Yes,,,
Christopher Corr,Yes,,,
Cig Harvey,Yes,,,
Clark Little,Yes,,,
Claudio Silvestrin,Yes,,,
Cory Arcangel,Yes,,,
DALeast,Yes,,,
Gabriel Dawe,Yes,,,
Massimiliano Fuksas,Yes,,,
Matt Adnate,Yes,,,
Max Bill,Yes,,,
Neil Leifer,Yes,,,
Paul Zizka,Yes,,,
Sohrab Hura,Yes,,,
Stik,Yes,,,
Toyin Ojih Odutola,Yes,,,
WRDSMTH,Yes,,,
Zak Noyle,Yes,,,
Ashraful Arefin,Yes,,,
Bella Kotak,Yes,,,
Delphine Diallo,Yes,,,
Gered Mankowitz,Yes,,,
Hans Haacke,Yes,,,
Hans Hartung,Yes,,,
Hans Hollein,Yes,,,
Hans Op de Beeck,Yes,,,
Hans Wegner,Yes,,,
Holton Rower,Yes,,,
Isaac Cordal,Yes,,,
Jacob Aue Sobol,Yes,,,
Jimmy Marble,Yes,,,
JonOne,Yes,,,
Junya Ishigami,Yes,,,
Kate Beaton,Yes,,,
Kris Van Assche,Yes,,,
Leo Villareal,Yes,,,
Ludwig Favre,Yes,,,
Maggie Taylor,Yes,,,
Mariusz Lewandowski,Yes,,,
Martin Margiela,Yes,,,
Matthieu Venot,Yes,,,
Mert Otsamo,Yes,,,
Nona Limmen,Yes,,,
Omar Victor Diop,Yes,,,
Randall Munroe,Yes,,,
Robert Irwin,Yes,,,
Robert Longo,Yes,,,
Robert Ryman,Yes,,,
Roz Chast,Yes,,,
Ryue Nishizawa,Yes,,,
Sarah Andersen,Yes,,,
Seydou Keïta,Yes,,,
Simone Rocha,Yes,,,
Scott McCloud,Yes,,,
Sou Fujimoto,Yes,,,
Stephan Pastis,Yes,,,
Theaster Gates,Yes,,,
Thom Browne,Yes,,,
Thomas Burberry,Yes,,,
Tokujin Yoshioka,Yes,,,
Tom Ford,Yes,,,
Wendell Castle,Yes,,,
Will Eisner,Yes,,,
Wolfgang Laib,Yes,,,
Yves Saint Laurent,Yes,,,
Darrell K. Sweet,Yes,,,
Richard Anderson,Yes,,,
Wayne Barlowe,Yes,,,
John Berkey,Yes,,,
Kerem Beyit,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,NO,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
,Yes,,,
