[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 3:2)]
Aaron Douglas,Yes,,,
Aaron Horkey,Yes,,,
Aaron Jasinski,Yes,,,
Aaron McGruder,Yes,,,
Aaron Siskind,Yes,,,
Abanindranath Tagore,Yes,,,
Abbott Fuller Graves,Yes,,,
Abbott Handerson Thayer,Yes,,,
Abigail Larson,Yes,,,
Abraham Ortelius,Yes,,,
Ad Reinhardt,Yes,,,
Abelardo Morell,Yes,,,
Adolf Loos,Yes,,,
Adrian Ghenie,Yes,,,
Agostino Arrivabene,Yes,,,
Aida Muluneh,Yes,,,
Akos Major,Yes,,,
Albert Gleizes,Yes,,,
Alasdair McLellan,Yes,,,
Alastair Magnaldo,Yes,,,
Albert Nikolayevitch Benois,Yes,,,
Albert Renger-Patzsch,Yes,,,
Alec Soth,Yes,,,
Alejandro Aravena,Yes,,,
Alessandra Sanguinetti,Yes,,,
Alex Andreev,Yes,,,
Alex Pardee,Yes,,,
Alex Prager,Yes,,,
Alexandre Deschaumes,Yes,,,
Alfredo Jaar,Yes,,,
Aline Smithson,Yes,,,
Aliza Razell,Yes,,,
Alvar Aalto,Yes,,,
Alvaro Siza Vieira,Yes,,,
Amy Giacomelli,Yes,,,
Amy Judd,Yes,,,
Amy Sol,Yes,,,
Ando Fuchs,Yes,,,
André Kertész,Yes,,,
Andreas Feininger,Yes,,,
Andreas Franke,Yes,,,
Andreas Gursky,Yes,,,
Andreas Levers,Yes,,,
Andres Serrano,Yes,,,
Andrew Atroshenko,Yes,,,
Ann Demeulemeester,Yes,,,
Ann Veronica Janssens,Yes,,,
Anna Maria Garthwaite,Yes,,,
Anna Sui,Yes,,,
Annie Soudain,Yes,,,
Ansel Adams,Yes,,,
Antanas Sutkus,Yes,,,
Anthony Lister,Yes,,,
Anthony McCall,Yes,,,
Antoni Gaudí,Yes,,,
Antonio Mora,Yes,,,
Arkhip Kuindzhi,Yes,,,
Arthur Elgort,Yes,,,
Arthur Streeton,Yes,,,
Audrey Kawasaki,Yes,,,
Barbara Chase-Riboud,Yes,,,
Barbara Kasten,Yes,,,
Becky Cloonan,Yes,,,
Ben Aronson,Yes,,,
Ben Goossens,Yes,,,
Ben Templesmith,Yes,,,
Bernard Leach,Yes,,,
