[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)],[extra example],"Author Specific prompt [first column for prompt, second for image] (author speciality)",
H.P. Lovecraft,Yes,,,,,,
H.R. Giger,Yes,,,,,,
H.R. Millar,NO,,,,,,
Haddon Sundblom,NO,,,,,,
Hajime Isayama,Yes,,,,,,
Hajime Sorayama,Yes,,,,,,
Hal Foster,Yes,,,,,,
Hanna-Barbera,Yes,,,,,,
Hannah Hoch,Yes,,,,,,
Hannah Höch,Yes,,,,,,
Hans Baldung,Yes,,,,,,
Hans Bellmer,Yes,,,,,,
Hans Gustav Burkhardt,NO,,,,,,
Hans Hinterreiter,NO,,,,,,
Hans Hofmann,Yes,,,,,,
Hans Holbein The Younger,Yes,,,,,,
Hans Memling,Yes,,,,,,
Hans Ruedi,NO,,,,,,
Hari Tokeino,NO,,,,,,
Harold Elliott,NO,,,,,,
Harold Von Schmidt,NO,,,,,,
Harriet Backer,Yes,,,,,,
Harriet Powers,NO,,,,,,
Harrison Fisher,NO,,,,,,
Harry Clarke,Yes,,,,,,
Harry Haenigsen,NO,,,,,,
Harry Rountree,Yes,,,,,,
Harvey Dunn,NO,,,,,,
Harvey Kurtzman,Yes,,,,,,
Hasui Kawase,Yes,,,,,,
Hayao Miyazaki,NO,,,,,,
Heather Hudson,NO,,,,,,
Heinrich Kley,Yes,,,,,,
Heinrich Lefler,Yes,,,,,,
Heir of Rick,NO,,,,,,
Helen Frankenthaler,Yes,,,,,,
Helmut Newton,Yes,,,,,,
Hendrick Avercamp,Yes,,,,,,
Hendrick Goltzius,Yes,,,,,,
Hendrik Kerstens,Yes,,,,,,
Henri De Toulouse Lautrec,Yes,,,,,,
Henri de Toulouse-Lautrec,Yes,,,,,,
Henri Emilien Rousseau,Yes,,,,,,
Henri Harpignies,Yes,,,,,,
Henri Julien Félix Rousseau,Yes,,,,,,
Henri Matisse,Yes,,,,,,
Henri Rousseau,Yes,,,,,,
Henri-Edmond Cross,Yes,,,,,,
Henriette Grindat,NO,,,,,,
Henry Fuseli,Yes,,,,,,
Henry Justice Ford,Yes,,,,,,
Henry Moret,Yes,,,,,,
Henry Ossawa Tanner,Yes,,,,,,
Henry Raleigh,Yes,,,,,,
Hergé,Yes,,,,,,
Hideaki Sorachi,NO,,,,,,
Hidekaz Himaruya,NO,,,,,,
Hideyuki Kikuchi,NO,,,,,,
Hieronymous Bosch,Yes,,,,,,
Hieronymus Bosch,Yes,,,,,,
Hieronymus Wierix,Yes,,,,,,
Hilma af Klint,Yes,,,,,,
Hinako Takanaga,NO,,,,,,
Hippolyte Delaroche,Yes,,,,,,
Hiro Mashima,Yes,,,,,,
Hirohiko Araki,Yes,,,,,,
Hiromu Arakawa,Yes,,,,,,
Hiroshi Nagai,Yes,,,,,,
Hiroshi Takashige,NO,,,,,,
Hiroshi Yoshida,Yes,,,,,,
Hiroya Oku,?,,,,,,
Hiroyuki Takei,NO,,,,,,
Hiroyuki Tamakoshi,NO,,,,,,
Hisashi Hirai,NO,,,,,,
Hisui Sugiura,NO,,,,,,
Hitoshi Okuda,NO,,,,,,
Hokusai,Yes,,,,,,
Hong SoonSang,Yes,,,,,,
Honoré Daumier,Yes,,,,,,
Hope Gangloff,Yes,,,,,,
Howard Chandler Christy,Yes,,,,,,
Howard Chaykin,Yes,,,,,,
Howard Finster,Yes,,,,,,
Howard Hodgkin,Yes,,,,,,
Howard Knotts,NO,,,,,,
Howard Lyon,NO,,,,,,
Howard Pyle,Yes,,,,,,
Hsiao-Ron Cheng,NO,,,,,,
Huang Guangjian,NO,,,,,,
Hubert Robert,Yes,,,,,,
Hubert Van Eyck,Yes,,,,,,
Hugh Ferriss,Yes,,,,,,
Hugh Kretschmer,Yes,,,,,,
Hugo Laurencena,NO,,,,,,
Hugo Van Der Goes,Yes,,,,,,
Hundertwasser,Yes,,,,,,
Huyy Nguyen,NO,,,,,,
Hyacinthe Rigaud,Yes,,,,,,
Iain Faulkner,Yes,,,,,,
Ian Hornak,NO,,,,,,
Ian McQue,Yes,,,,,,
Ian Miller,Yes,,,,,,
Ichigo Takano,NO,,,,,,
Ida Rentoul Outhwaite,Yes,,,,,,
Ignacy Witkiewicz,NO,,,,,,
Igor Kieryluk,NO,,,,,,
Igor Morski,Yes,,,,,,
Illustrated Police News,Yes,,,,,,
Ilya Kuvshinov,Yes,,,,,,
Ilya Repin,Yes,,,,,,
Ilya Yefimovich Repin,Yes,,,,,,
Ingrid Baars,Yes,,,,,,
Inio Asano,Yes,,,,,,
Irma Stern,Yes,,,,,,
Isaac Levitan,Yes,,,,,,
Ismail Inceoglu,Yes,,,,,,
Israel Tsvaygenbaum,NO,,,,,,
Istvan Banyai,NO,,,,,,
István Sándorfi,NO,,,,,,
Itō Jakuchū,?,,,,,,
Ivan Aivazovsky,Yes,,,,,,
Ivan Albright,Yes,,,,,,
Ivan Bilibin,Yes,,,,,,
Ivan Ivanovich Shishkin,Yes,,,,,,
Ivan Laliashvili,NO,,,,,,
Ivan Shishkin,Yes,,,,,,
Iwao Takamoto,NO,,,,,,
J. Frederick Smith,NO,,,,,,
J. J. Grandville,Yes,,,,,,
J. Scott Campbell,Yes,,,,,,
J.C. Leyendecker,Yes,,,,,,
J.M.W. Turner,Yes,,,,,,
Jacek Yerka,Yes,,,,,,
Jack Butler Yeats,Yes,,,,,,
Jack Davis,Yes,,,,,,
Jack Gaughan,Yes,,,,,,
Jack Kirby,Yes,,,,,,
Jackie Ormes,Yes,,,,,character design by ...,
Jackson Pollock,Yes,,,,,,
Jacob Isaakszoon Van Ruisdael,Yes,,,,,,
Jacob Jordaens,Yes,,,,,,
Jacob van Ruisdael,Yes,,,,,,
Jacopo Carucci,NO,,,,,,
Jacopo Comin,NO,,,,,,
Jacques Callot,Yes,,,,,,
Jacques Louis David,?,,,,,,
Jacques Tardi,Yes,,,,,,
Jacqui Morgan,NO,,,,,,
Jaime Jones,NO,,,,,,
Jakub Rebelka,NO,,,,,,
Jakub Rozalski,Yes,,,,,,
Jakub Różalski,NO,,,,,,
James Abbot Mcneill Whistler,Yes,,,,,,
James Abbott McNeill Whistler,Yes,,,,,,
James C. Christensen,Yes,,,,,,
James Ensor,Yes,,,,,,
James Gillray,Yes,,,,,,
James Gurney,NO,,,,,,
James Hayward,NO,,,,,,
James Jean,Yes,,,,,,
James Jonathan Jeffries,NO,,,,,,
James Montgomery Flagg,Yes,,,,,,
James Paick,Yes,,,,,,
James Rosenquist,Yes,,,,,,
James Ryman,NO,,,,,,
James Turrell,Yes,,,,,,
James Warhola,NO,,,,,,
Jamie Baldridge,Yes,,,,,,
Jamie Hewlett,Yes,,,,,,
Jan Brett,NO,,,,,,
Jan Brueghel The Elder,Yes,,,,,,
Jan Davidsz de Heem,Yes,,,,,,
Jan Kip,NO,,,,,,
Jan Matejko,Yes,,,,,,
Jan Miense Molenaer,NO,,,,,,
Jan švankmajer,Yes,,,,,,
Jan Van Eyck,Yes,,,,,,
Jan van Goyen,Yes,,,,,,
Jan Vermeer,Yes,,,,,,
Jane Graverol,NO,,,,,,
Janet Fish,NO,,,,,,
Jaroslaw Jasnikowski,Yes,,,,,,
Jarosław Jaśnikowski,Yes,,,,,,
Jasmine Becket-Griffith,Yes,,,,,,
Jason A. Engle,Yes,,,,,,
Jason Chan,NO,,,,,,
Jason De Graaf,NO,,,,,,
Jason Edmiston,Yes,,,,,,
Jason Limon,NO,,,,,,
Jasper Johns,Yes,,,,,,
Jay Naylor,NO,,,,,,
Jc Leyendecker,Yes,,,,,,
Jean Antoine Watteau,Yes,,,,,,
Jean Arp,Yes,,,,,,
Jean Crotti,NO,,,,,,
Jean Cunningham,NO,,,,,,
Jean Delville,Yes,,,,,,
Jean Frederic Bazille,Yes,,,,,,
Jean Giraud,Yes,,,,,,
Jean Léon Gérôme,Yes,,,,,,
Jean Metzinger,Yes,,,,,,
Jean-Antoine Watteau,Yes,,,,,,
Jean-Baptiste Monge,Yes,,,,,,
Jean-Baptiste Simeon Chardin,Yes,,,,,,
Jean-François Millet,Yes,,,,,,
Jean-Honoré Fragonard,Yes,,,,,,
Jean-Joseph Constant,NO,,,,,,
Jean-Michel Basquiat,Yes,,,,,,
Jean-Pierre Gibrat,Yes,,,,,,
Jean-Pierre Vasarely,Yes,,,,,,
Jeff Easley,Yes,,,,,,
Jeff Koons,Yes,,,,,,
Jeff Lemire,Yes,,,,,,
Jeffrey Catherine Jones,Yes,,,,,,
Jeffrey Smith,Yes,,,,,,
Jeffrey T. Larson,Yes,,,,,,
Jennifer Janesko,NO,,,,,,
Jenny Saville,Yes,,,,,,
Jeremy Geddes,Yes,,,,,,
Jeremy Lipking,Yes,,,,,,
Jeremy Mann,Yes,,,,,,
Jerry Pinkney,Yes,,,,,,
Jesper Ejsing,Yes,,,,,,
Jesper Myrfors,NO,,,,,,
Jessie Willcox Smith,Yes,,,,,,
Jim Aparo,Yes,,,,,,
Jim Burns,Yes,,,,,,
Jim Dine,Yes,,,,,,
Jim Fitzpatrick,Yes,,,,,,
Jim Holloway,NO,,,,,,
Jim Lee,Yes,,,,,,
Jim Starlin,Yes,,,,,,
Jim Steranko,Yes,,,,,,
Jim Warren,NO,,,,,,
Jim Woodring,Yes,,,,,,
Jimmy Ernst,Yes,,,,,,
Jimmy Nelson,NO,,,,,,
JJcanvas,NO,,,,,,
Joan Miro,Yes,,,,,,
Joan Mitchell,Yes,,,,,,
Joan Tuset,NO,,,,,,
Joanna Constantinidis,NO,,,,,,
João Artur da Silva,NO,,,,,,
Joaquín Sorolla,Yes,,,,,,
Jodorowsky,Yes,,,,,,
Jodorowskyf,NO,,,,,,
Joe Bowler,NO,,,,,,
Joe Fenton,NO,,,,,,
Joe Johnston,NO,,,,,,
Joe Jusko,Yes,,,,,,
Joe Kubert,Yes,,,,,,
Joe Shuster,Yes,,,,,,
Joe Staton,Yes,,,,,,
Joel Perlman,NO,,,,,,
Joel Santos,NO,,,,,,
Johan Christian Dahl,Yes,,,,,,
Johann Bodin,Yes,,,,,,
Johann Fischer,Yes,,,,,,
Johann Kretzschmer,Yes,,,,,,
Johannes Vermeer,Yes,,,,,,
Johannes Voss,NO,,,,,,
Johfra Bosschart,NO,,,,,,
Johji Manabe,NO,,,,,,
John Alvin,NO,,,,,,
John Atherton,NO,,,,,,
John Atkinson Grimshaw,Yes,,,,,,
John Backderf,Yes,,,,,,
John Bauer,Yes,,,,,,
John Berkey,Yes,,,,,,
John Blanche,Yes,,,,,,
John Buscema,Yes,,,,,,
John Byrne,Yes,,,,,,
John Carpenter,Yes,,,,,,
John Constable,Yes,,,,,,
John Coplans,NO,,,,,,
John Currin,Yes,,,,,,
John Dolan,NO,,,,,,
John Duncan,Yes,,,,,,
John Everett Millais,Yes,,,,,,
John Frederick Kensett,Yes,,,,,,
John French Sloan,Yes,,,,,,
John George Sowerby,NO,,,,,,
John Harris,Yes,,,,,,
John Henry Twachtman,Yes,,,,,,
John Howe,Yes,,,,,,
John Hoyland,Yes,,,,,,
John James Audubon,Yes,,,,,,
John Kenn Mortensen,Yes,,,,,,
John Kingsley,NO,,,,,,
John Kricfalusi,Yes,,,,,"Ren and Stimpy creator. also, he's not a particularly good person...",
John Martin,Yes,,,,,,
John Matson,Yes,,,,,,
John Perceval,Yes,,,,,,
John Philip Falter,Yes,,,,,,
John Romita Jr,Yes,,,,,,
John Schoenherr,Yes,,,,,,
John Severin,Yes,,,,,,
John Singer Sargent,Yes,,,,,,
John Singleton Copley,Yes,,,,,,
John Stephens,NO,,,,,,
John Tenniel,Yes,,,,,,
John Totleben,NO,,,,,,
John William Waterhouse,Yes,,,,,,
Jon Foster,Yes,,,,,,
Jon Klassen,Yes,,,,,,
Jon Whitcomb,NO,,,,,,
Jonathan Kenworthy,NO,,,,,,
Jonathan Solter,NO,,,,,,
Joost Swarte,Yes,,,,,,
Jordan Grimmer,NO,,,,,,
Jorge Damiani,NO,,,,,,
Jorge Jacinto,NO,,,,,,
Josan Gonzalez,NO,,,,,,
José Guadalupe Posada,Yes,,,,,,
José Villegas Cordero,NO,,,,,,
Josef Albers,Yes,,,,,,
Joseph Bowler,NO,,,,,,
Joseph Clement Coll,Yes,,,,,,
Joseph Cornell,Yes,,,,,,
Joseph Ducreux,Yes,,,,,,
Joseph Keppler,NO,,,,,,
Joseph Stella,Yes,,,,,,
Joseph Wright Of Derby,Yes,,,,,,
Josephine Wall,Yes,,,,,,
Josh Kirby,Yes,,,,,,
Josip Demirovic Devj,NO,,,,,,
Joyce Ballantyne Brand,NO,,,,,,
Józef Mehoffer,NO,,,,,,
Juan Giménez,NO,,,,,,
Juan Gris,Yes,,,,,,
Juan Pablo Roldan,NO,,,,,,
Juanjo Guarnido,NO,,,,,,
Judy Chicago,Yes,,,,,,
Jules Bastien-Lepage,Yes,,,,,,
Jules Dupré,NO,,,,,,
Julia Jacquette,NO,,,,,,
Julia Pott,NO,,,,,,
Julia Razumova,?,,,,,,
Julian Allen,NO,,,,,,
Julie Bell,NO,,,,,,
Juliette Roche,NO,,,,,,
Julius Evola,NO,,,,,,
Jung Park,NO,,,,,,
Junji Ito,Yes,,,,,,
Justin Gerard,Yes,,,,,,
Justin Sweet,NO,,,,,,
Justino Alves,NO,,,,,,
Kabbalah,Yes,,,,,,
Kadath,NO,,,,,,
Kadir Nelson,Yes,,,,,,
Kaethe Butcher,Yes,,,,,,
Kagami Yoshimizu,?,,,,,,
Kaja Foglio,Yes,,,,,,
KanashiiPanda,NO,,,,,,
Kandinsky,Yes,,,,,,
Kanzan Shimomura,Yes,,,,,,
Kaoru Tada,NO,,,,,,
Kareem Olamilekan,NO,,,,,,
Karl Blossfeldt,Yes,,,,,,
Karl Hubbuch,NO,,,,,,
Karl Schmidt-Rottluff,Yes,,,,,,
Karl Thiart,NO,,,,,,
Karol Bak,Yes,,,,,,
Kate Fox,NO,,,,,,
Kate Greenaway,Yes,,,,,,
Käthe Kollwitz,Yes,,,,,,
Kati Horna,Yes,,,,,,
Katsuhiro Otomo,Yes,,,,,,
Katsura Hoshino,NO,,,,,,
Katsushika Hokusai,Yes,,,,,,
Katsushika Ōi,?,,,,,,
Katsuya Terada,Yes,,,,,,
Kawanabe Kyōsai,Yes,,,,,,
Kawase Hasui,Yes,,,,,,
Kay Nielsen,Yes,,,,,,
Kay Sage,Yes,,,,,,
Kazimir Malevich,Yes,,,,,,
Kazimir Severinovich Malevich,Yes,,,,,,
Kazuko Fujita,NO,,,,,,
Kazuo Nakamura,NO,,,,,,
Kees Van Dongen,Yes,,,,,,
Kehinde Wiley,Yes,,,,,,
Keiko Takemiya,NO,,,,,,
Keith Giffen,Yes,,,,,,
Keith Haring,Yes,,,,,,
Keith Parkinson,NO,,,,,,
Kelly Freas,Yes,,,,,,
Kelly McKernan,Yes,,,,,,
Ken Akamatsu,NO,,,,,,
Ken Sugimori,Yes,,,,,,
Kengo Kuma,Yes,,,,,,
Kenjiro Hata,NO,,,,,,
Kenny Scharf,Yes,,,,,,
Kent Monkman,Yes,,,,,,
Kentaro Miura,Yes,,,,,,
Kentaro Yabuki,NO,,,,,,
Keren Katz,NO,,,,,,
Kestin Cornwall,NO,,,,,,
Kev Walker,NO,,,,,,
Kevin Eastman,Yes,,,,,,
Kevin Maguire,Yes,,,,,,
Kilian Eng,NO,,,,,,
Kim Deitch,Yes,,,,,,
Kim Jung Gi,NO,,,,,,
Kinuko Craft,NO,,,,,,
Kiyohiko Azuma,NO,,,,,,
Kogan Gengei,NO,,,,,,
Kojo Marfo,NO,,,,,,
Konstantin Vasilyev,NO,,,,,,
Konstantinas Ciurlionis,Yes,,,,,,
Kouta Hirano,NO,,,,,,
Koyoharu Gotouge,NO,,,,,,
Krenz Cushart,Yes,,,,,,
Kris Kuksi,NO,,,,,,
Kuang Hong,NO,,,,,,
Kuno Veeber,NO,,,,,,
Kurt Schwitters,Yes,,,,,,
Kyle Lambert,NO,,,,,,
Kyousuke Motomi,NO,,,,,,
Lale Westvind,NO,,,,,,
Land Art,Yes,,,,,,
Larry Elmore,Yes,,,,,,
Lars Grant-West,NO,,,,,,
Laura Muntz Lyall,NO,,,,,,
Laurel Burch,Yes,,,,,,
Laurie Greasley,Yes,,,,,,
Laurie Lipton,Yes,,,,,,
Lawren Harris,Yes,,,,,,
Lawrence Alma-Tadema,Yes,,,,,,
Le caravaggesque,Yes,,,,,,
Le Douanier,NO,,,,,,
Lee Dongi,NO,,,,,,
Lee Jeffries,Yes,,,,,,
Lee Jeonglok,NO,,,,,,
Lee Krasner,Yes,,,,,,
Lee Loughridge,NO,,,,,,
Lee Madgwick,Yes,,,,,,
Leiji Matsumoto,NO,,,,,,
Lena Alexander,NO,,,,,,
Leo And Diane Dillon,NO,,,,,,
Léon Bakst,Yes,,,,,,
Leon Kossoff,Yes,,,,,,
Leonardo da Vinci,Yes,,,,,,
Leonid Afremov,Yes,,,,,,
Leonor Fini,Yes,,,,,,
Leonora Carrington,Yes,,,,,,
LeRoy Neiman,Yes,,,,,,
Les Edwards,Yes,,,,,,
Li Tang,NO,,,,,,
Li Tiefu,NO,,,,,,
Liam Wong,NO,,,,,,
Lichtenstein,Yes,,,,,,
Lightningwave,NO,,,,,,
Lin Tinggui,NO,,,,,,
Lisa Frank,Yes,,,,,,
Lisa Keene,NO,,,,,,
Lisa Kristine,NO,,,,,,
Lisa Milroy,NO,,,,,,
Lise Deharme,NO,,,,,,
Liza Donnelly,NO,,,,,,
Loic Zimmerman,NO,,,,,,
Lois Van Baarle,Yes,,,,,,
Loish,NO,,,,,,
Lorenzo Agius,NO,,,,,,
Lorenzo Lazzeri,NO,,,,,,
Lori Earley,NO,,,,,,
Lotte Reiniger,Yes,,,,,,
Louis Comfort Tiffany,Yes,,,,,,
Louis Glackens,Yes,,,,,,
Louis Janmot,Yes,,,,,,
Louis Rhead,Yes,,,,,,
Louis Wain,Yes,,,,,,
Louise Bourgeois,Yes,,,,,,
Louise Nevelson,Yes,,,,,,
Lovis Corinth,Yes,,,,,,
Lowell Nesbitt,NO,,,,,,
Luc Schuiten,Yes,,,,,,
Luca Marziale,NO,,,,,,
Luca Signorelli,NO,,,,,,
Luca Zontini,NO,,,,,,
Lucas Cranach The Elder,Yes,,,,,,
Lucas Graciano,Yes,,,,,,
Lucian Freud,Yes,,,,,,
Luigi Seraphini,NO,,,,,,
Luis Royo,Yes,,,,,,
Luiz Escanuela,NO,,,,,,
Lyle Tuttle,NO,,,,,,
Lynda Benglis,Yes,,,,,,
Lynn Okamoto,NO,,,,,,
Lynn Pauley,NO,,,,,,
Lyonel Feininger,Yes,,,,,,
Lyubov Popova,Yes,,,,,,
M.C. Escher,Yes,,,,,,
M.W. Kaluta,Yes,,,,,,
Mab Graves,Yes,,,,,,
Maciej Kuciara,Yes,,,,,,
Mad,NO,,,,,,
Magali Villeneuve,Yes,,,,,,
Maginel Wright Enright Barney,NO,,,,,,
MagnaLuna,Yes,,,,,,
Maki Murakami,NO,,,,,,
Makoto Aida,NO,,,,,,
Makoto Isshiki,NO,,,,,,
Makoto Shinkai,Yes,,,,,,
Makoto Tateno,NO,,,,,,
Makoto Yukimura,NO,,,,,,
Malcolm Liepke,Yes,,,,,,
Malevich,Yes,,,,,,
Małgorzata Serwatka,NO,,,,,,
Malvin Gray Johnson,NO,,,,,,
Man Ray,Yes,,,,,,
Manjit Bawa,NO,,,,,,
Manny Librodo,NO,,,,,,
Marc Bell,NO,,,,,,
Marc Chagall,Yes,,,,,,
Marc Simonetti,Yes,,,,,,
Marcel Chagall,Yes,,,,,,
Marcel Duchamp,Yes,,,,,,
Marcell Chagall,Yes,,,,,,
Marcia Santore,NO,,,,,,
Marco Mazzoni,Yes,,,,,,
Marcus Rothkowitz,NO,,,,,,
Marek Ruzyk,NO,,,,,,
Margaret Brundage,NO,,,,,,
Margaret Macdonald Mackintosh,Yes,,,,,,
Margareta Sterian,NO,,,,,,
Margaux Fontaine,NO,,,,,,
Maria Sibylla Merian,Yes,,,,,,
Marianne North,Yes,,,,,,
Marianne von Werefkin,Yes,,,,,,
Marie-Gabrielle Capet,NO,,,,,,
Mario Martinez,NO,,,,,,
Mario Merz,NO,,,,,,
Mario Sanchez Nevado,NO,,,,,,
Mario Testino,Yes,,,,,,
Marius Borgeaud,NO,,,,,,
Mark Brooks,Yes,,,,,,
Mark English,NO,,,,,,
Mark Mann,NO,,,,,,
Mark Poole,NO,,,,,,
Mark Rothko,Yes,,,,,,
Mark Ryden,Yes,,,,,,
Mark Tedin,NO,,,,,,
Mark Zug,NO,,,,,,
Marlene Dumas,Yes,,,,,,
Marsden Hartley,Yes,,,,,,
Marshall Arisman,NO,,,,,,
Marta Dahlig,NO,,,,,,
Martin Deschambault,NO,,,,,,
Martin Johnson Heade,Yes,,,,,,
Martin Schoeller,Yes,,,,,,
Martin Schongauer,Yes,,,,,,
Martiros Saryan,Yes,,,,,,
Maruyama Ōkyo,NO,,,,,,
Mary Blair,Yes,,,,,,
Mary Cassatt,Yes,,,,,,
Mary Hallock Foote,NO,,,,,,
Mary Jane Begin,NO,,,,,,
Mary Stevenson Cassatt,Yes,,,,,,
Masaaki Sasamoto,Yes,,,,,,
Masakazu Yamaguchi,NO,,,,,,
Masami Kurumada,NO,,,,,,
Masami Tsuda,NO,,,,,,
Masamune Shirow,Yes,,,,,,
Masashi Kishimoto,Yes,,,,,,
Mat Collishaw,Yes,,,,,,
Mathias Kollros,NO,,,,,,
Mati Klarwein,Yes,,,,,,
Matsuri Hino,NO,,,,,,
Matt Dixon,NO,,,,,,
Matt Groening,Yes,,,,,,
Matt Stone And Trey Parker,NO,,,,,,
Matthäus Merian the Elder,Yes,,,,,,
Matthäus Merian the Younger,Yes,,,,,,
Matthias Grünewald,Yes,,,,,,
Matthias Weischer,NO,,,,,,
Matthijs Naiveu,NO,,,,,,
Matti Suuronen,NO,,,,,,
Maurice Dufrene,NO,,,,,,
Maurice Esteve,NO,,,,,,
Maurice Sendak,Yes,,,,,,
Mauricio Lasansky,NO,,,,,,
Mauro Belfiore,NO,,,,,,
Max Beckmann,Yes,,,,,,
Max Ernst,Yes,,,,,,
Max Liebermann,Yes,,,,,,
Max Pechstein,Yes,,,,,,
Max Weber,Yes,,,,,,
Maxfield Parrish,Yes,,,,,,
Mead Schaeffer,Yes,,,,,,
Meesh,NO,,,,,,
Mel Ramos,NO,,,,,,
Melissa A. Benson,NO,,,,,,
Méret Oppenheim,Yes,,,,,,
Meryl Mcmaster,Yes,,,,,,
Meyer Vaisman,NO,,,,,,
Mia Ikumi,NO,,,,,,
Micha Klein,NO,,,,,,
Michael Bay,NO,,,,,,
Michael Deforge,Yes,,,,,,
Michael Parkes,Yes,,,,,,
Michael Sutfin,NO,,,,,,
Michael Whelan,Yes,,,,,,
Michaelangelo,Yes,,,,,,
Michal Lisowski,Yes,,,,,,
Michelangelo,Yes,,,,,,
Michelangelo Buonarotti,Yes,,,,,,
Michelangelo Buonarroti,Yes,,,,,,
Michelangelo Merisi,Yes,,,,,,
Michelangelo Merisi Da Caravaggio,Yes,,,,,,
Michele Light,NO,,,,,,
Miho Hirano,Yes,,,,,,
Miho Obana,NO,,,,,,
Mikalojus Konstantinas Ciurlionis,Yes,,,,,,
Mikalojus Konstantinas Čiurlionis,Yes,,,,,,
Mike Grell,Yes,,,,,,
Mike Hinge,Yes,,,,,,
Mike Mignola,Yes,,,,,,
Mike Winkelmann,Yes,,,,,,
Mike Zeck,Yes,,,,,,
Mikhail Vrubel,Yes,,,,,,
Mikiyo Tsuda,NO,,,,,,
Miles Johnston,NO,,,,,,
Miles-DF,NO,,,,,,
Milo Manara,Yes,,,,,,
Milton Avery,Yes,,,,,,
Milton Caniff,Yes,,,,,,
Milton Ernest Robert Rauschenberg,Yes,,,,,,
Milton Glaser,Yes,,,,,,
Milton Resnick,NO,,,,,,
Mirco Zett,NO,,,,,,
MirroredSea,Yes,,,,,,
Mitsuru Adachi,NO,,,,,,
Miwa Ueda,NO,,,,,,
Miyamoto,NO,,,,,,
Moebius,Yes,,,,,,
Mœbius,Yes,,,,,,
Mondrian,Yes,,,,,,
Monet,Yes,,,,,,
Monkey Punch,NO,,,,,,
Morris Louis Bernstein,Yes,,,,,,
Morris Scott Dollens,Yes,,,,,,
Morton Livingston Schamberg,NO,,,,,,
mspaintcore,NO,,,,,,
Murakami,NO,,,,,,
N. C. Wyeth,Yes,,,,,,
N.C. Wyeth,Yes,,,,,,
Nakaba Suzuki,NO,,,,,,
Nancy Stahl,NO,,,,,,
Naoki Urasawa,Yes,,,,,,
Naoko Takeuchi,NO,,,,,,
Naoshi Komi,NO,,,,,,
Naoto Hattori,Yes,,,,,,
Narayan Shridhar Bendre,NO,,,,,,
Narse,NO,,,,,,
Natalia Goncharova,Yes,,,,,,
Natasha Tan,NO,,,,,,
Natsuki Takaya,NO,,,,,,
NCMares,NO,,,,,,
Neal Adams,Yes,,,,,,
Ned M. Seidler,NO,,,,,,
Nedroid,Yes,,,,,,
Neil Beloufa,NO,,,,,,
Neil Blevins,NO,,,,,,
Neil Boyle,NO,,,,,,
Neil Welliver,Yes,,,,,,
Nele Zirnite,NO,,,,,,
Nestor Leynes,NO,,,,,,
Nicholas Roerich,Yes,,,,,,
Nick Knight,Yes,,,,,,
Nick Park,Yes,,,,,,
Nico Molenkamp,NO,,,,,,
Nicolas De Stael,Yes,,,,,,
Nicolas Delort,NO,,,,,,
Nicolas Poussin,Yes,,,,,,
Nils Hamm,NO,,,,,,
Nina Masic,NO,,,,,,
Noah Bradley,Yes,,,,,,
Nobuhiro Watsuki,NO,,,,,,
Nobuyoshi Araki,Yes,,,,,,
Noriyoshi Ohrai,Yes,,,,,,
Norman Lewis,NO,,,,,,
Norman Rockwell,Yes,,,,,,
Norman Saunders,NO,,,,,,
Nosego,NO,,,,,,
Odd Nerdrum,Yes,,,,,,
Odilon Redon,Yes,,,,,,
Ohara Koson,Yes,,,,,,
Okuda San Miguel,Yes,,,,,,
Olga Rozanova,NO,,,,,,
Olha Darchuk,NO,,,,,,
Olivia De Berardinis,NO,,,,,,
Olivier Vatine,NO,,,,,,
Omar Rayo,NO,,,,,,
Osamu Tezuka,Yes,,,,,,
Óscar Domínguez,NO,,,,,,
Oskar Kokoschka,Yes,,,,,,
Oswald Tschirtner,NO,,,,,,
Otto Dix,Yes,,,,,,
Otto Duecker,NO,,,,,,
Otto Marseus van Schrieck,Yes,,,,,,
P Craig Russell,Yes,,,,,,
Pablo Amaringo,NO,,,,,,
Pablo Carpio,NO,,,,,,
Pablo Dominguez,NO,,,,,,
Pablo Picasso,Yes,,,,,,
Paolo Uccello,Yes,,,,,,
Paolo Veronese,Yes,,,,,,
Parmigianino,Yes,,,,,,
Pascal Blanché,NO,,,,,,
Pascal Campion,Yes,,,,,,
Pat Oliphant,NO,,,,,,
Pat Presley,NO,,,,,,
Patrick Brown,NO,,,,,,
Patrick Heron,Yes,,,,,,
Patrick Woodroffe,Yes,,,,,,
Paul Bril,NO,,,,,,
Paul Cezanne,Yes,,,,,,
Paul Cézanne,Yes,,,,,,
Paul Delaroche,Yes,,,,,,
Paul Delvaux,Yes,,,,,,
Paul Gauguin,Yes,,,,,,
Paul Gulacy,Yes,,,,,,
Paul Gustav Fischer,Yes,,,,,,
Paul Gustave Fischer,Yes,,,,,,
Paul Julian,NO,,,,,,
Paul Klee,Yes,,,,,,
Paul Laffoley,Yes,,,,,,
Paul Lehr,Yes,,,,,,
Paul Outerbridge,Yes,,,,,,
Paul Pepera,NO,,,,,,
Paul Pope,Yes,,,,,,
Paul Rand,Yes,,,,,,
Paul Signac,Yes,,,,,,
