[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)],[extra example],"Author Specific prompt [first column for prompt, second for image] (author speciality)",
Aurél Bernáth,NO,,,,,,
Austin Briggs,Yes,,,,,,
Aya Nakahara,NO,,,,,,
Ayako Rokkaku,NO,,,,,,
Ayami Kojima,Yes,,,,,,
Ayshia Taşkın,NO,,,,,,
Balthasar Klossowski,NO,,,,,,
Balthus,Yes,,,,,,
Banksy,Yes,,,,,,
Barbara Kruger,Yes,,,,,,
Barbara Nessim,NO,,,,,,
Barclay Shaw,Yes,,,,,,
Barnett Newman,Yes,,,,,,
Barron Storey,NO,,,,,,
Barry Windsor Smith,Yes,,,,,,
Bartolomeo Coriolano,NO,,,,,,
Basil Gogos,Yes,,,,,,
Basil Wolverton,Yes,,,,,,
Bastien Lecouffe-Deharme,Yes,,,,*,,
Bauhaus,Yes,,,,,,
Bayard Wu,NO,,,, ,,
Beatrix Potter,Yes,,,,,,
Beauford Delaney,Yes,,,,,,
Beeple,Yes,,,,,,
Ben Shahn,Yes,,,,,,
Ben Templesmith,Yes,,,,*,,
Ben Thompson,NO,,,,,,
Benjamin West,Yes,,,,,,
Benjamin-Constant,Yes,,,,,,
Benoit B. Mandelbrot,NO,,,,,,
Benozzo Gozzoli,Yes,,,,,,
Bernard Buffet,Yes,,,,,,
Bernardo Bellotto,Yes,,,,3,,
Bernardo Strozzi,Yes,,,,,,
Bernie D,NO,,,,,,
Bernie Wrightson,Yes,,,,,,
Berthe Marie Pauline Morisot,Yes,,,,,,
Berthe Morisot,Yes,,,,,,
Bikash Bhattacharjee,NO,,,,,,
Bill Henson,Yes,,,,,,
Bill Mantlo,Yes,,,,,,
Bill Sienkiewicz,Yes,,,,,,
Bill Ward,NO,,,,,,
Bill Watterson,Yes,,,,,,
Bill Willingham,Yes,,,,,,
Bisco Hatori,NO,,,,,,
Bjarke Ingels,Yes,,,,,,
Blotch,NO,,,,,,
Blu the Dragon,NO,,,,,,
Bob Byerley,Yes,,,,,,
Bob Eggleton,Yes,,,,,,
Bob Larkin,Yes,,,,,,
Bob Layton,Yes,,,,,,
Bob Layzell,Yes,,,,,,
Bob Pepper,Yes,,,,,,
Bob Ringwood,NO,,,,,,
Bob Ross,Yes,,,,,,
Bonnard Pierre,Yes,,,,,,
Boris Smirnoff,NO,,,,,,
Boris Vallejo,Yes,,,,,,
Brad Holland,NO,,,,,,
Brenda Chamberlain,NO,,,,,,
Brian Bolland,Yes,,,,,,
Brian Despain,Yes,,,,,,
Brian Froud,Yes,,,,,,
Brian Kesinger,Yes,,,,,,
Brian Snøddy,NO,,,,,,
Brian Stelfreeze,Yes,,,,,,
Bridget Bate Tichenor,Yes,,,,,,
Bridget Riley,Yes,,,,,,
Brooke Shaden,Yes,,,,,,
Brothers Hildebrandt,Yes,,,,,,
Bruce Pennington,Yes,,,,,,
Bruce Timm,Yes,,,,,,
Bryan Lee O'Malley,Yes,,,,,,
Bunny Yeager,Yes,,,,,,
Burnt Toast Creative,NO,,,,,,
Cadence Giersbach,NO,,,,,,
Camille Corot,Yes,,,,,,
Camille Pissarro,Yes,,,,,,
Camille-Pierre Pambu Bodo,NO,,,,,,
Canaletto,Yes,,,,,,
Candido Portinari,Yes,,,,,,
Caravaggio,Yes,,,,,,
Carl Barks,Yes,,,,,,
Carl Critchlow,NO,,,,,,
Carl Holsoe,Yes,,,,,,
Carl Larsson,Yes,,,,,,
Carl Spitzweg,Yes,,,,,,
Carla Wyzgala,NO,,,,,,
Carlos Arias,NO,,,,,,
Carmen Lomas Garza,NO,,,,,,
Carmine Infantino,Yes,,,,,,
Carne Griffiths,Yes,,,,,,
Casey Cripe,Yes,,,,,,
Caspar David Friedrich,Yes,,,,,,
Cecily Mary Barker,Yes,,,,,,
Cedric Peyravernay,NO,,,,,,
cgsociety,Yes,,,,,,
Chaïm Soutine,Yes,,,,,,
Chantal Joffe,Yes,,,,,,
Charles Addams,Yes,,,,,,
Charles Angrand,NO,,,,,,
Charles Blackman,Yes,,,,,,
Charles Camoin,Yes,,,,,,
Charles Dana Gibson,Yes,,,,,,
Charles E. Burchfield,Yes,,,,,,
Charles Eames,Yes,,,,,,
Charles Edward Conder,Yes,,,,,,
Charles François Daubigny,Yes,,,,,,
Charles Schulz,Yes,,,,,,
Charles Urbach,NO,,,,,,
Charles Vess,Yes,,,,,,
Charlie Bowater,Yes,,,,,,
Charlotte Harding,NO,,,,,,
Chase Stone,NO,,,,,,
Chesley Bonestell,Yes,,,,,,
Chie Shinohara,NO,,,,,,
Chieko Hosokawa,NO,,,,,,
Chiharu Shiota,Yes,,,,,,
Childe Hassam,Yes,,,,,,
Chris Cold,NO,,,,,,
Chris Denovan,NO,,,,,,
Chris Foss,Yes,,,,,,
Chris LaBrooy,NO,,,,,,
Chris Mars,Yes,,,,,,
Chris Moore,Yes,,,,,,
Chris Ofili,Yes,,,,,,
Chris Rallis,Yes,,,,,,
Chris Spollen,NO,,,,,,
Chris Ware,Yes,,,,,,
Christian August Lorentzen,NO,,,,,,
Christian Rex Van Minnen,NO,,,,,,
Christiane Baumgartner,NO,,,,,,
Christophe Vacher,Yes,,,,,,
Christopher Balaskas,NO,,,,,,
Christopher Makos,NO,,,,,,
Christopher Moeller,NO,,,,,,
Christopher Williams,NO,,,,,,
Christopher Wren,Yes,,,,,,
Chuck Jones,Yes,,,,,,
Cicely Mary Barker,Yes,,,,,,
Cimabue,?,,,,,,
Cindy Sherman,Yes,,,,,,
Claes Oldenburg,Yes,,,,,,
Claire Hummel,NO,,,,,,
Clamp,NO,,,,,,
Clara Miller Burd,NO,,,,,,
Clara Peeters,Yes,,,,,,
Claude Cahun,Yes,,,,,,
Claude Lorrain,Yes,,,,,,
Claude Monet,Yes,,,,,,
Claudio Bravo,NO,,,,,,
Cliff Childs,NO,,,,,,
Clint Cearley,NO,,,,,,
Clive Madgwick,NO,,,,,,
Clockwork Creatures,NO,,,,,,
Clovis Trouille,NO,,,,,,
Clyde Aspevig,NO,,,,,,
Clyde Caldwell,Yes,,,,,,
Clyfford Still,Yes,,,,,,
Coby Whitmore,Yes,,,,,,
Cocoa Fujiwara,NO,,,,,,
Codex Seraphinianus,Yes,,,,,,
Coles Phillips,Yes,,,,,,
Colin Hay,Yes,,,,,,
Colin Snapp,NO,,,,,,
Conrad Roset,Yes,,,,,,
Constantin Brancusi,Yes,,,,,,
Cornelis Bisschop,Yes,,,,,,
Cornelis Boel,Yes,,,,,,
Cornelis Galle the Elder,Yes,,,,,,
Cornelis Theodorus Maria Van Dongen,Yes,,,,,,
Cory Loftis,Yes,,,,,,
Craig Davison,Yes,,,,,,
Craig Mullins,Yes,,,,,,
Craola,NO,,,,,,
Cren,NO,,,,,,
Cricorps Grégoire,NO,,,,,,
Cuno Amiet,Yes,,,,,,
Curt Swan,Yes,,,,,,
Cynthia Sheppard,Yes,,,,,,
Dai Jin,NO,,,,,,
Daisuke Moriyama,NO,,,,,,
Dale Chihuly,Yes,,,,,,
Damien Hirst,Yes,,,,Damien Hirst,,
Dan Christensen,NO,,,,,,
Dan Flavin,Yes,,,,Dan Flavin,,
Dan Frazier,NO,,,,,,
Dan Hillier,Yes,,,,,,
Dan Mumford,Yes,,,,,,
Dan Peterka,NO,,,,,,
Dan Seagrave,Yes,,,,,,
Daniel Chadwick,NO,,,,,,
Daniel Dalopo,NO,,,,,,
Daniel Gerhartz,Yes,,,,,,
Daniel Ljunggren,NO,,,,,,
Daniel Merriam,Yes,,,,,,
Daniel Ridgway Knight,Yes,,,,,,
Daniel Ridgway Knights,Yes,,,,,,
Dante Gabriel Rossetti,Yes,,,,,,
Darek Zabrocki,NO,,,,,,
Daren Bader,NO,,,,,,
Daria Neretina,NO,,,,,,
Dariusz Zawadzki,NO,,,,,,
Dark Natasha,NO,,,,,,
Dark Nek0gami,NO,,,,,,
