[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 3:2)]
Arthur Wardle,Yes,,,
Arthur Wesley Dow,Yes,,,
Asaf Hanuka,Yes,,,
Asger Jorn,Yes,,,
Asher Brown Durand,Yes,,,
Ashley Wood,Yes,,,
AssasinMonkey,NO,,,
Atelier Olschinsky,Yes,,,
Atey Ghailan,Yes,,,
Aubrey Beardsley,Yes,,,
Audemars Piguet,Yes,,,
Audrey Kawasaki,Yes,,,
August Macke,Yes,,,
August Rodin,Yes,,,
August Sander,Yes,,,
Augustus Edwin Mulready,Yes,,,
Augustus John,Yes,,,
Austin Briggs,Yes,,,
Austin Osman Spare,Yes,,,
Axel Scheffler,Yes,,,
Ayami Kojima,NO,,,
Balthus,Yes,,,
Banksy,Yes,,,
Barbara Hepworth,Yes,,,
Barbara Kruger,Yes,,,
Barclay Shaw,Yes,,,
Barkley L. Hendricks,Yes,,,
Barnett Newman,Yes,,,
Barry Blitt,Yes,,,
Barry McGee,Yes,,,
Barry Windsor-Smith,Yes,,,
Bas Princen,Yes,,,
Basil Gogos,Yes,,,
Basil Wolverton,Yes,,,
Bastien Lecouffe-Deharme,Yes,,,
Beatrice Wood,Yes,,,
Beatrix Potter,Yes,,,
Beauford Delaney,Yes,,,
Becky Cloonan,Yes,,,
Beeple,Yes,,,
Ben Quilty,Yes,,,
Ben Shahn,Yes,,,
Ben Templesmith,Yes,,,
Benjamin West,Yes,,,
Benjamin-Constant,Yes,,,
Benozzo Gozzoli,Yes,,,
Berenice Abbott,Yes,,,
Bernard Buffet,Yes,,,
Bernard Tschumi,Yes,,,
Bernardo Bellotto,Yes,,,
Bernardo Strozzi,Yes,,,
Bernd Becher,Yes,,,
Bernie Wrightson,Yes,,,
Bert Hardy,Yes,,,
Bert Stern,Yes,,,
Berthe Morisot,Yes,,,
Bertil Nilsson,Yes,,,
Betsey Johnson,Yes,,,
Bettina Rheims,Yes,,,
Beverly Joubert,Yes,,,
Bijou Karman,Yes,,,
Bill Alexander,NO,,,
Bill Brandt,Yes,,,
Bill Carman,Yes,,,
Bill Durgin,Yes,,,
Bill Gekas,Yes,,,
Bill Henson,Yes,,,
Bill Sienkiewicz,Yes,,,
Bill Traylor,Yes,,,
Bill Ward,NO,,,
Bill Watterson,Yes,,,
Bill Willingham,Yes,,,
Billy Childish,Yes,,,
Bjarke Ingels,Yes,,,
Blek le Rat,Yes,,,
Blutch,Yes,,,
Bob Byerley,Yes,,,
Bob Eggleton,Yes,,,
Bob Larkin,NO,,,
Bob Layton,Yes,,,
Bob Layzell,Yes,,,
Bob Masse,Yes,,,
Bob Pepper,NO,,,
Bob Ross,Yes,,,
Boris Kustodiev,Yes,,,
Boris Vallejo,Yes,,,
Brandon Kidwell,Yes,,,
Brandon Mably,Yes,,,
Brandon Woelfel,Yes,,,
Brassaï,Yes,,,
Brett Walker,Yes,,,
Brett Weston,Yes,,,
Brian Bolland,Yes,,,
Brian Despain,Yes,,,
Brian Froud,Yes,,,
Brian Jungen,Yes,,,
Brian K. Vaughan,?,,,
Brian Kesinger,Yes,,,
Brian Skerry,Yes,,,
Brian Stelfreeze,Yes,,,
Brice Marden,Yes,,,
Bridget Bate Tichenor,Yes,,,
Bridget Riley,Yes,,,
Brooke DiDonato,Yes,,,
Brooke Shaden,Yes,,,
Brothers Hildebrandt,Yes,,,
Bruce Catalano,Yes,,,
Bruce Davidson,Yes,,,
Bruce McLean,Yes,,,
